,First Name,Last Name,Birthday,Birthmonth,Birthyear,Course,Phonenumber,Gender,Carrier
0,name1,lastname1,26,November,98,BS Legal Management,0918 302 6210,Female,Smart
1,name2,lastname2,26,May,01,BS Management,0927 212 6276,Female,Globe
2,name3,lastname3,16,May,97,BS Comtech,0918 253 7017,Female,Smart
3,name4,lastname4,9,December,97,BS IT Entrepreneurship,0918 714 4360,Male,Smart
4,name5,lastname5,5,September,97,BS Comtech,0927 462 1674,Female,Globe
5,name6,lastname6,2,March,99,BS Management,0918 629 5268,Female,Smart
6,name7,lastname7,10,November,98,BS Legal Management,0917 369 7388,Female,Globe
7,name8,lastname8,28,August,99,BS Management Engineering,0917 240 6000,Male,Globe
8,name9,lastname9,10,July,97,BS Management Engineering,0918 226 5748,Male,Smart
9,name10,lastname10,14,September,01,BS Comtech,0918 342 1717,Female,Smart
10,name11,lastname11,8,December,98,BS Legal Management,0927 708 1308,Male,Globe
11,name12,lastname12,4,May,97,BS Management Engineering,0927 747 5497,Male,Globe
12,name13,lastname13,28,January,99,BS Comtech,0917 959 4490,Female,Globe
13,name14,lastname14,11,January,99,BS Management,0927 543 4192,Female,Globe
14,name15,lastname15,6,June,98,BS IT Entrepreneurship,0917 211 9497,Male,Globe
15,name16,lastname16,20,April,99,BS Legal Management,0918 185 5162,Male,Smart
16,name17,lastname17,3,January,97,BS IT Entrepreneurship,0927 146 8146,Female,Globe
17,name18,lastname18,8,April,97,BS Management,0927 516 4280,Female,Globe
18,name19,lastname19,28,December,97,BS IT Entrepreneurship,0927 958 6909,Male,Globe
19,name20,lastname20,10,March,97,BS Management Engineering,0917 514 9105,Male,Globe
20,name21,lastname21,13,July,99,BS Legal Management,0927 984 7499,Female,Globe
21,name22,lastname22,15,September,99,BS IT Entrepreneurship,0927 699 3694,Male,Globe
22,name23,lastname23,15,April,97,BS Management,0917 317 2478,Male,Globe
23,name24,lastname24,1,October,97,BS Management Engineering,0917 159 3829,Male,Globe
24,name25,lastname25,6,May,97,BS Management Engineering,0918 898 6972,Male,Smart
